"ID","ratio"
"1101   ","0.0077"
"1102   ","0.0039"
"1216   ","0.0195"
"1301   ","0.0299"
"1303   ","0.0272"
"1326   ","0.0219"
"1402   ","0.0061"
"2002   ","0.0171"
"2105   ","0.0051"
"2633   ","0.0028"
"2801   ","0.0059"
"2823   ","0.0043"
"2880   ","0.0085"
"2881   ","0.0218"
"2882   ","0.0244"
"2883   ","0.0084"
"2884   ","0.0111"
"2885   ","0.0091"
"2886   ","0.0162"
"2887   ","0.0080"
"2890   ","0.0063"
"2891   ","0.0227"
"2892   ","0.0115"
"5880   ","0.0089"
"2912   ","0.0097"
"5871   ","0.0071"
"9904   ","0.0062"
"6505   ","0.0095"
"2303   ","0.0108"
"2311   ","0.0169"
"2325   ","0.0066"
"2330   ","0.3503"
"2408   ","0.0042"
"2454   ","0.0296"
"2301   ","0.0052"
"2324   ","0.0049"
"2357   ","0.0115"
"2382   ","0.0093"
"2395   ","0.0046"
"4938   ","0.0086"
"2409   ","0.0071"
"3008   ","0.0203"
"3481   ","0.0067"
"2412   ","0.0253"
"3045   ","0.0103"
"4904   ","0.0074"
"2308   ","0.0166"
"2317   ","0.0779"
"2354   ","0.0052"
"2474   ","0.0155"
"0050   ","0.0000"
"0051   ","0.0000"
"0052   ","0.0000"
"0053   ","0.0000"
"0054   ","0.0000"
"0055   ","0.0000"
"0056   ","0.0000"
"0057   ","0.0000"
"0058   ","0.0000"
"0059   ","0.0000"
"006201   ","0.0000"
"006203   ","0.0000"
"006204   ","0.0000"
"006208   ","0.0000"
"00690   ","0.0000"
"00692   ","0.0000"
"00701   ","0.0000"
"00713   ","0.0000"



